Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
15,3,0.000,0.000,0.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,1.000,0.000,0.000,0.000,0.000,0.000,0
16,1,0.000,1.000,0.000,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.955,0.045,0.000,0.000,0.000,0.000,0
17,1,0.373,0.601,0.026,0.000,0.000,0.000,0
17,2,0.000,0.556,0.444,0.000,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,1.000,0.000,0.000,0.000,0.000,0.000,0
18,1,0.000,1.000,0.000,0.000,0.000,0.000,0
18,2,0.000,0.000,1.000,0.000,0.000,0.000,0
18,3,0.000,0.000,0.000,0.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,1.000,0.000,0.000,0.000,0.000,0.000,0
19,1,0.000,1.000,0.000,0.000,0.000,0.000,0
19,2,0.000,0.000,1.000,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,0.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,0.966,0.033,0.001,0.000,0.000,0.000,0
20,1,0.167,0.813,0.021,0.000,0.000,0.000,0
20,2,0.000,0.267,0.733,0.000,0.000,0.000,0
20,3,0.000,0.000,0.000,0.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,1.000,0.000,0.000,0.000,0.000,0.000,0
21,1,0.000,1.000,0.000,0.000,0.000,0.000,0
21,2,0.000,0.000,1.000,0.000,0.000,0.000,0
21,3,0.000,0.000,0.000,0.000,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0,1.000,0.000,0.000,0.000,0.000,0.000,0
22,1,0.000,1.000,0.000,0.000,0.000,0.000,0
22,2,0.000,0.000,1.000,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,0.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.882,0.113,0.004,0.000,0.000,0.000,0
23,1,0.808,0.159,0.033,0.000,0.000,0.000,0
23,2,0.522,0.391,0.087,0.000,0.000,0.000,0
23,3,0.000,0.000,0.000,0.000,0.000,0.000,0
23,4,0.000,0.000,0.000,0.000,0.000,0.000,0
23,5,0.000,0.000,0.000,0.000,0.000,0.000,0
23,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0,0.981,0.018,0.000,0.000,0.000,0.000,0
24,1,0.111,0.871,0.018,0.000,0.000,0.000,0
24,2,0.000,0.205,0.795,0.000,0.000,0.000,0
24,3,0.000,0.000,0.000,0.000,0.000,0.000,0
24,4,0.000,0.000,0.000,0.000,0.000,0.000,0
24,5,0.000,0.000,0.000,0.000,0.000,0.000,0
24,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0,1.000,0.000,0.000,0.000,0.000,0.000,0
25,1,0.135,0.865,0.000,0.000,0.000,0.000,0
25,2,0.023,0.256,0.721,0.000,0.000,0.000,0
25,3,0.000,0.000,0.000,0.000,0.000,0.000,0
25,4,0.000,0.000,0.000,0.000,0.000,0.000,0
25,5,0.000,0.000,0.000,0.000,0.000,0.000,0
25,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0,1.000,0.000,0.000,0.000,0.000,0.000,0
26,1,0.384,0.616,0.000,0.000,0.000,0.000,0
26,2,0.129,0.355,0.516,0.000,0.000,0.000,0
26,3,0.000,0.000,0.000,0.000,0.000,0.000,0
26,4,0.000,0.000,0.000,0.000,0.000,0.000,0
26,5,0.000,0.000,0.000,0.000,0.000,0.000,0
26,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,0,1.000,0.000,0.000,0.000,0.000,0.000,0
27,1,0.000,1.000,0.000,0.000,0.000,0.000,0
27,2,0.000,0.000,1.000,0.000,0.000,0.000,0
27,3,0.000,0.000,0.000,0.000,0.000,0.000,0
27,4,0.000,0.000,0.000,0.000,0.000,0.000,0
27,5,0.000,0.000,0.000,0.000,0.000,0.000,0
27,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,0,0.983,0.017,0.000,0.000,0.000,0.000,0
