Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.995,0.005,0.000,0.000,0.000,0.000,0
1,1,0.095,0.904,0.001,0.000,0.000,0.000,0
1,2,0.000,0.199,0.801,0.000,0.000,0.000,0
1,3,0.000,0.037,0.185,0.778,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,1.000,0.000,0
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.991,0.009,0.000,0.000,0.000,0.000,0
2,1,0.278,0.718,0.004,0.000,0.000,0.000,0
2,2,0.098,0.370,0.533,0.000,0.000,0.000,0
2,3,0.048,0.143,0.381,0.429,0.000,0.000,0
2,4,0.000,0.500,0.000,0.000,0.500,0.000,0
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.987,0.013,0.000,0.000,0.000,0.000,0
3,1,0.109,0.884,0.007,0.000,0.000,0.000,0
3,2,0.006,0.193,0.795,0.006,0.000,0.000,0
3,3,0.000,0.000,0.333,0.667,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,1.000,0.000,0
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.998,0.002,0.000,0.000,0.000,0.000,0
4,1,0.055,0.940,0.005,0.000,0.000,0.000,0
4,2,0.007,0.086,0.907,0.000,0.000,0.000,0
4,3,0.000,0.143,0.000,0.857,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,1.000,0.000,0
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.971,0.028,0.000,0.000,0.000,0.000,0
5,1,0.352,0.627,0.021,0.000,0.000,0.000,0
5,2,0.098,0.466,0.436,0.000,0.000,0.000,0
5,3,0.000,0.000,1.000,0.000,0.000,0.000,0
5,4,0.000,0.000,0.000,1.000,0.000,0.000,0
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,0.994,0.006,0.000,0.000,0.000,0.000,0
6,1,0.080,0.919,0.001,0.000,0.000,0.000,0
6,2,0.011,0.135,0.854,0.000,0.000,0.000,0
6,3,0.000,0.000,0.000,1.000,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,0.992,0.008,0.000,0.000,0.000,0.000,0
7,1,0.072,0.921,0.007,0.000,0.000,0.000,0
7,2,0.013,0.208,0.779,0.000,0.000,0.000,0
7,3,0.000,0.000,0.000,1.000,0.000,0.000,0
