Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
15,3,0.000,0.000,1.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,1.000,0.000,0.000,0.000,0.000,0.000,0
16,1,0.000,1.000,0.000,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.994,0.006,0.000,0.000,0.000,0.000,0
17,1,0.327,0.667,0.005,0.000,0.000,0.000,0
17,2,0.114,0.429,0.457,0.000,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,0.995,0.005,0.000,0.000,0.000,0.000,0
18,1,0.067,0.931,0.002,0.000,0.000,0.000,0
18,2,0.000,0.158,0.842,0.000,0.000,0.000,0
18,3,0.000,0.000,0.000,0.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,1.000,0.000,0.000,0.000,0.000,0.000,0
19,1,0.103,0.897,0.000,0.000,0.000,0.000,0
19,2,0.000,0.294,0.706,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,0.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,1.000,0.000,0.000,0.000,0.000,0.000,0
20,1,0.000,1.000,0.000,0.000,0.000,0.000,0
20,2,0.000,0.000,1.000,0.000,0.000,0.000,0
20,3,0.000,0.000,0.000,0.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,1.000,0.000,0.000,0.000,0.000,0.000,0
21,1,0.000,1.000,0.000,0.000,0.000,0.000,0
21,2,0.000,0.000,1.000,0.000,0.000,0.000,0
21,3,0.000,0.000,0.000,0.000,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0,1.000,0.000,0.000,0.000,0.000,0.000,0
22,1,0.000,1.000,0.000,0.000,0.000,0.000,0
22,2,0.000,0.000,1.000,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,0.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.832,0.155,0.013,0.001,0.000,0.000,0
23,1,0.619,0.323,0.058,0.000,0.000,0.000,0
23,2,0.667,0.250,0.083,0.000,0.000,0.000,0
23,3,0.000,0.000,0.000,0.000,0.000,0.000,0
23,4,0.000,0.000,0.000,0.000,0.000,0.000,0
23,5,0.000,0.000,0.000,0.000,0.000,0.000,0
23,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0,0.992,0.008,0.000,0.000,0.000,0.000,0
24,1,0.063,0.925,0.012,0.000,0.000,0.000,0
24,2,0.000,0.122,0.878,0.000,0.000,0.000,0
24,3,0.000,0.000,0.333,0.667,0.000,0.000,0
24,4,0.000,0.000,0.000,0.000,0.000,0.000,0
24,5,0.000,0.000,0.000,0.000,0.000,0.000,0
24,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0,0.988,0.012,0.000,0.000,0.000,0.000,0
25,1,0.077,0.914,0.009,0.000,0.000,0.000,0
25,2,0.000,0.145,0.855,0.000,0.000,0.000,0
25,3,0.000,0.000,0.500,0.500,0.000,0.000,0
25,4,0.000,0.000,0.000,0.000,0.000,0.000,0
25,5,0.000,0.000,0.000,0.000,0.000,0.000,0
25,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0,0.928,0.069,0.002,0.000,0.000,0.000,0
26,1,0.168,0.779,0.052,0.001,0.000,0.000,0
26,2,0.025,0.225,0.713,0.037,0.000,0.000,0
26,3,0.000,0.000,1.000,0.000,0.000,0.000,0
26,4,0.000,0.000,0.000,0.000,0.000,0.000,0
26,5,0.000,0.000,0.000,0.000,0.000,0.000,0
26,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,0,0.994,0.006,0.000,0.000,0.000,0.000,0
27,1,0.039,0.957,0.004,0.000,0.000,0.000,0
27,2,0.000,0.118,0.882,0.000,0.000,0.000,0
27,3,0.000,0.000,0.200,0.800,0.000,0.000,0
27,4,0.000,0.000,0.000,0.000,0.000,0.000,0
27,5,0.000,0.000,0.000,0.000,0.000,0.000,0
27,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,0,0.988,0.012,0.000,0.000,0.000,0.000,0
28,1,0.054,0.932,0.014,0.000,0.000,0.000,0
28,2,0.010,0.127,0.853,0.010,0.000,0.000,0
28,3,0.000,0.000,0.000,1.000,0.000,0.000,0
28,4,0.000,0.000,0.000,0.000,0.000,0.000,0
28,5,0.000,0.000,0.000,0.000,0.000,0.000,0
28,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,0,0.830,0.160,0.009,0.001,0.000,0.000,0
29,1,0.228,0.671,0.097,0.004,0.000,0.000,0
29,2,0.020,0.290,0.620,0.070,0.000,0.000,0
29,3,0.000,0.000,0.800,0.200,0.000,0.000,0
29,4,0.000,0.000,0.000,0.000,0.000,0.000,0
29,5,0.000,0.000,0.000,0.000,0.000,0.000,0
29,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,0,0.919,0.078,0.003,0.000,0.000,0.000,0
30,1,0.100,0.850,0.050,0.001,0.000,0.000,0
30,2,0.005,0.172,0.797,0.026,0.000,0.000,0
30,3,0.000,0.000,0.250,0.750,0.000,0.000,0
30,4,0.000,0.000,0.000,0.000,0.000,0.000,0
30,5,0.000,0.000,0.000,0.000,0.000,0.000,0
30,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,0,0.982,0.017,0.001,0.000,0.000,0.000,0
31,1,0.089,0.898,0.012,0.000,0.000,0.000,0
31,2,0.004,0.139,0.844,0.013,0.000,0.000,0
31,3,0.000,0.000,0.211,0.789,0.000,0.000,0
31,4,0.000,0.000,0.000,0.000,0.000,0.000,0
31,5,0.000,0.000,0.000,0.000,0.000,0.000,0
31,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,0,0.768,0.207,0.024,0.001,0.000,0.000,0
32,1,0.183,0.669,0.137,0.010,0.000,0.000,0
32,2,0.032,0.306,0.566,0.091,0.005,0.000,0
32,3,0.000,0.222,0.278,0.500,0.000,0.000,0
32,4,0.000,0.000,0.000,0.000,0.000,0.000,0
32,5,0.000,0.000,0.000,0.000,0.000,0.000,0
32,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,0,0.864,0.126,0.009,0.000,0.000,0.000,0
