Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.992,0.008,0.000,0.000,0.000,0.000,0
1,1,0.054,0.938,0.009,0.000,0.000,0.000,0
1,2,0.000,0.027,0.973,0.000,0.000,0.000,0
1,3,0.000,0.000,0.167,0.833,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.978,0.022,0.000,0.000,0.000,0.000,0
2,1,0.247,0.741,0.012,0.000,0.000,0.000,0
2,2,0.025,0.370,0.597,0.008,0.000,0.000,0
2,3,0.000,0.000,0.000,1.000,0.000,0.000,0
2,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.989,0.011,0.000,0.000,0.000,0.000,0
3,1,0.068,0.921,0.010,0.000,0.000,0.000,0
3,2,0.000,0.120,0.880,0.000,0.000,0.000,0
3,3,0.000,0.167,0.167,0.667,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.998,0.002,0.000,0.000,0.000,0.000,0
4,1,0.064,0.934,0.002,0.000,0.000,0.000,0
4,2,0.000,0.143,0.857,0.000,0.000,0.000,0
4,3,0.000,0.250,0.000,0.750,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.995,0.005,0.000,0.000,0.000,0.000,0
5,1,0.307,0.690,0.002,0.000,0.000,0.000,0
5,2,0.054,0.351,0.595,0.000,0.000,0.000,0
5,3,0.000,0.000,0.667,0.333,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,0.994,0.006,0.000,0.000,0.000,0.000,0
6,1,0.074,0.924,0.002,0.000,0.000,0.000,0
6,2,0.000,0.125,0.875,0.000,0.000,0.000,0
6,3,0.000,0.000,0.000,1.000,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,0.999,0.001,0.000,0.000,0.000,0.000,0
7,1,0.043,0.957,0.000,0.000,0.000,0.000,0
7,2,0.000,0.023,0.977,0.000,0.000,0.000,0
7,3,0.000,0.000,0.000,1.000,0.000,0.000,0
7,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0,0.991,0.009,0.000,0.000,0.000,0.000,0
8,1,0.208,0.788,0.003,0.000,0.000,0.000,0
8,2,0.119,0.357,0.524,0.000,0.000,0.000,0
8,3,0.000,0.000,1.000,0.000,0.000,0.000,0
8,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0,0.998,0.002,0.000,0.000,0.000,0.000,0
9,1,0.041,0.959,0.000,0.000,0.000,0.000,0
9,2,0.000,0.040,0.960,0.000,0.000,0.000,0
9,3,0.000,0.000,0.000,0.000,0.000,0.000,0
9,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0,0.995,0.005,0.000,0.000,0.000,0.000,0
10,1,0.000,1.000,0.000,0.000,0.000,0.000,0
10,2,0.000,0.000,1.000,0.000,0.000,0.000,0
10,3,0.000,0.000,0.000,0.000,0.000,0.000,0
10,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0,0.980,0.019,0.000,0.000,0.000,0.000,0
11,1,0.322,0.669,0.009,0.000,0.000,0.000,0
11,2,0.167,0.333,0.500,0.000,0.000,0.000,0
11,3,0.000,0.000,0.000,0.000,0.000,0.000,0
11,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0,0.992,0.008,0.000,0.000,0.000,0.000,0
12,1,0.110,0.888,0.002,0.000,0.000,0.000,0
12,2,0.000,0.316,0.684,0.000,0.000,0.000,0
12,3,0.000,0.000,0.000,0.000,0.000,0.000,0
12,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0,0.998,0.002,0.000,0.000,0.000,0.000,0
13,1,0.034,0.966,0.000,0.000,0.000,0.000,0
13,2,0.000,0.143,0.857,0.000,0.000,0.000,0
13,3,0.000,0.000,0.000,0.000,0.000,0.000,0
13,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0,0.991,0.009,0.000,0.000,0.000,0.000,0
14,1,0.144,0.851,0.005,0.000,0.000,0.000,0
14,2,0.000,0.167,0.833,0.000,0.000,0.000,0
14,3,0.000,0.000,0.000,0.000,0.000,0.000,0
14,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0,0.996,0.004,0.000,0.000,0.000,0.000,0
15,1,0.060,0.937,0.002,0.000,0.000,0.000,0
15,2,0.077,0.154,0.769,0.000,0.000,0.000,0
15,3,0.000,0.000,0.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,0.996,0.004,0.000,0.000,0.000,0.000,0
16,1,0.025,0.973,0.002,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.984,0.016,0.000,0.000,0.000,0.000,0
17,1,0.216,0.776,0.007,0.000,0.000,0.000,0
17,2,0.083,0.250,0.667,0.000,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,0.999,0.001,0.000,0.000,0.000,0.000,0
18,1,0.053,0.947,0.000,0.000,0.000,0.000,0
18,2,0.000,0.091,0.909,0.000,0.000,0.000,0
18,3,0.000,0.000,0.000,0.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,1.000,0.000,0.000,0.000,0.000,0.000,0
19,1,0.045,0.955,0.000,0.000,0.000,0.000,0
19,2,0.000,0.100,0.900,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,0.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,0.991,0.009,0.000,0.000,0.000,0.000,0
20,1,0.167,0.828,0.005,0.000,0.000,0.000,0
20,2,0.111,0.111,0.778,0.000,0.000,0.000,0
20,3,0.000,0.000,0.000,0.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,0.999,0.001,0.000,0.000,0.000,0.000,0
21,1,0.049,0.951,0.000,0.000,0.000,0.000,0
21,2,0.000,0.300,0.700,0.000,0.000,0.000,0
21,3,0.000,0.000,0.000,0.000,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0,1.000,0.000,0.000,0.000,0.000,0.000,0
22,1,0.000,1.000,0.000,0.000,0.000,0.000,0
22,2,0.000,0.000,1.000,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,0.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.901,0.095,0.004,0.000,0.000,0.000,0
23,1,0.614,0.362,0.024,0.000,0.000,0.000,0
23,2,0.571,0.429,0.000,0.000,0.000,0.000,0
23,3,0.000,0.000,0.000,0.000,0.000,0.000,0
23,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0,0.996,0.004,0.000,0.000,0.000,0.000,0
24,1,0.102,0.892,0.005,0.000,0.000,0.000,0
24,2,0.000,0.179,0.821,0.000,0.000,0.000,0
24,3,0.000,0.000,0.000,0.000,0.000,0.000,0
24,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0,0.999,0.001,0.000,0.000,0.000,0.000,0
25,1,0.047,0.953,0.000,0.000,0.000,0.000,0
25,2,0.000,0.115,0.885,0.000,0.000,0.000,0
25,3,0.000,0.000,0.000,0.000,0.000,0.000,0
25,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0,0.970,0.030,0.000,0.000,0.000,0.000,0
26,1,0.155,0.830,0.016,0.000,0.000,0.000,0
26,2,0.043,0.174,0.783,0.000,0.000,0.000,0
26,3,0.000,0.000,0.000,0.000,0.000,0.000,0
26,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,0,0.984,0.015,0.001,0.000,0.000,0.000,0
27,1,0.043,0.950,0.007,0.000,0.000,0.000,0
27,2,0.000,0.115,0.885,0.000,0.000,0.000,0
27,3,0.000,0.000,0.000,0.000,0.000,0.000,0
27,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,0,0.998,0.002,0.000,0.000,0.000,0.000,0
28,1,0.026,0.972,0.002,0.000,0.000,0.000,0
28,2,0.000,0.033,0.967,0.000,0.000,0.000,0
28,3,0.000,0.000,0.000,0.000,0.000,0.000,0
28,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,0,0.894,0.103,0.003,0.000,0.000,0.000,0
29,1,0.268,0.681,0.050,0.002,0.000,0.000,0
29,2,0.133,0.367,0.500,0.000,0.000,0.000,0
29,3,0.000,0.000,0.000,0.000,0.000,0.000,0
29,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,0,0.983,0.017,0.000,0.000,0.000,0.000,0
30,1,0.068,0.921,0.012,0.000,0.000,0.000,0
30,2,0.000,0.121,0.879,0.000,0.000,0.000,0
30,3,0.000,0.000,0.000,1.000,0.000,0.000,0
30,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,0,0.987,0.013,0.000,0.000,0.000,0.000,0
31,1,0.039,0.952,0.009,0.000,0.000,0.000,0
31,2,0.000,0.066,0.918,0.016,0.000,0.000,0
31,3,0.000,0.000,0.000,1.000,0.000,0.000,0
31,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,0,0.815,0.174,0.011,0.000,0.000,0.000,0
32,1,0.083,0.803,0.109,0.005,0.000,0.000,0
32,2,0.047,0.172,0.766,0.016,0.000,0.000,0
32,3,0.000,0.000,0.000,1.000,0.000,0.000,0
32,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,0,0.915,0.082,0.003,0.000,0.000,0.000,0
33,1,0.074,0.861,0.064,0.001,0.000,0.000,0
33,2,0.005,0.095,0.884,0.016,0.000,0.000,0
33,3,0.000,0.143,0.000,0.857,0.000,0.000,0
33,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,0,0.979,0.021,0.000,0.000,0.000,0.000,0
34,1,0.049,0.933,0.018,0.000,0.000,0.000,0
34,2,0.000,0.104,0.881,0.015,0.000,0.000,0
34,3,0.000,0.000,0.100,0.900,0.000,0.000,0
34,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,0,0.580,0.353,0.064,0.003,0.000,0.000,0
35,1,0.117,0.621,0.241,0.021,0.000,0.000,0
35,2,0.008,0.196,0.694,0.102,0.000,0.000,0
35,3,0.000,0.154,0.154,0.692,0.000,0.000,0
35,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,0,0.907,0.090,0.003,0.000,0.000,0.000,0
36,1,0.046,0.900,0.054,0.000,0.000,0.000,0
36,2,0.001,0.120,0.847,0.032,0.000,0.000,0
36,3,0.000,0.000,0.141,0.859,0.000,0.000,0
36,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,0,0.976,0.023,0.001,0.000,0.000,0.000,0
37,1,0.037,0.945,0.018,0.000,0.000,0.000,0
37,2,0.003,0.062,0.934,0.001,0.000,0.000,0
37,3,0.000,0.000,0.109,0.891,0.000,0.000,0
37,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,0,0.628,0.319,0.049,0.004,0.000,0.000,0
38,1,0.093,0.673,0.218,0.016,0.000,0.000,0
38,2,0.009,0.207,0.679,0.105,0.000,0.000,0
38,3,0.000,0.048,0.345,0.607,0.000,0.000,0
38,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,0,0.899,0.097,0.004,0.000,0.000,0.000,0
39,1,0.085,0.853,0.061,0.000,0.000,0.000,0
39,2,0.012,0.174,0.776,0.037,0.000,0.000,0
39,3,0.000,0.080,0.263,0.657,0.000,0.000,0
39,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0,0.981,0.019,0.000,0.000,0.000,0.000,0
40,1,0.058,0.933,0.009,0.000,0.000,0.000,0
40,2,0.002,0.110,0.884,0.004,0.000,0.000,0
40,3,0.000,0.025,0.165,0.810,0.000,0.000,0
40,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0,0.480,0.401,0.107,0.012,0.000,0.000,0
41,1,0.097,0.572,0.290,0.041,0.000,0.000,0
41,2,0.027,0.229,0.614,0.130,0.000,0.000,0
41,3,0.030,0.090,0.338,0.541,0.000,0.000,0
41,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,0,0.906,0.091,0.003,0.000,0.000,0.000,0
42,1,0.084,0.847,0.067,0.002,0.000,0.000,0
42,2,0.009,0.147,0.809,0.035,0.000,0.000,0
42,3,0.000,0.019,0.233,0.748,0.000,0.000,0
42,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,0,0.971,0.029,0.000,0.000,0.000,0.000,0
43,1,0.051,0.930,0.019,0.000,0.000,0.000,0
43,2,0.004,0.088,0.904,0.004,0.000,0.000,0
43,3,0.000,0.003,0.159,0.838,0.000,0.000,0
43,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,0,0.690,0.267,0.039,0.003,0.000,0.000,0
44,1,0.130,0.666,0.192,0.012,0.000,0.000,0
44,2,0.026,0.268,0.636,0.070,0.000,0.000,0
44,3,0.004,0.084,0.341,0.570,0.000,0.000,0
44,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,0,0.938,0.061,0.001,0.000,0.000,0.000,0
45,1,0.117,0.845,0.038,0.000,0.000,0.000,0
45,2,0.013,0.208,0.767,0.013,0.000,0.000,0
45,3,0.000,0.030,0.310,0.660,0.000,0.000,0
45,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,0,0.975,0.025,0.000,0.000,0.000,0.000,0
46,1,0.054,0.930,0.016,0.000,0.000,0.000,0
46,2,0.003,0.131,0.858,0.008,0.000,0.000,0
46,3,0.000,0.005,0.190,0.805,0.000,0.000,0
46,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,0,0.669,0.289,0.042,0.001,0.000,0.000,0
47,1,0.140,0.667,0.183,0.011,0.000,0.000,0
47,2,0.026,0.289,0.608,0.077,0.000,0.000,0
47,3,0.006,0.090,0.341,0.563,0.000,0.000,0
47,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,0,0.945,0.053,0.002,0.001,0.000,0.000,0
48,1,0.120,0.848,0.031,0.000,0.000,0.000,0
