House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
2213A02000,2-DR,5-BC,DHW_100_Lpd,1.34772602739726,Dryer-med,0.82,Stove-high,1.46
2213A02023,2-DR,5-BC,DHW_200_Lpd,1.03808219178082,Dryer-low,1.28,Stove-high,1.28
2213A02024,2-DR,5-BC,DHW_200_Lpd,0.794616438356164,Dryer-low,1.02,Stove-high,1.05
2213A02032,2-DR,5-BC,DHW_200_Lpd,0.963342465753425,Dryer-low,0.34,Stove-high,1.57
2213A02114,2-DR,5-BC,DHW_200_Lpd,1.01206849315068,Dryer-low,0.91,Stove-high,1.37
2213A02145,2-DR,5-BC,DHW_200_Lpd,0.852465753424658,Dryer-low,1.03,Stove-high,1.85
2213A02164,2-DR,5-BC,DHW_100_Lpd,1.47945205479452,Dryer-high,1.11,Stove-high,1.05
2213A02170,2-DR,5-BC,DHW_100_Lpd,1.13493150684932,Dryer-med,0.83,Stove-med,1.25
2213A02182,2-DR,5-BC,DHW_100_Lpd,1.40345205479452,Dryer-low,1.58,Stove-med,1.26
2213A02257,2-DR,5-BC,DHW_200_Lpd,0.939013698630137,Dryer-med,0.85,Stove-high,1.28
2213A02267,2-DR,5-BC,DHW_100_Lpd,1.34435616438356,Dryer-med,0.80,Stove-high,2.99
2213A02376,2-DR,5-BC,DHW_100_Lpd,1.47578082191781,Dryer-low,0.49,Stove-high,0.97
2213A02377,2-DR,5-BC,DHW_200_Lpd,1.01797260273973,Dryer-low,0.00,Stove-high,1.43
2213A02386,2-DR,5-BC,DHW_100_Lpd,1.35279452054795,Dryer-med,0.92,Stove-high,1.01
2214A00009,2-DR,5-BC,DHW_200_Lpd,0.787013698630137,Dryer-low,0.00,Stove-high,0.89
2214A00031,2-DR,5-BC,DHW_100_Lpd,1.42035616438356,Dryer-low,0.00,Stove-high,1.46
2214A00038,2-DR,5-BC,DHW_200_Lpd,0.765068493150685,Dryer-low,0.00,Stove-med,0.94
2214A00045,2-DR,5-BC,DHW_100_Lpd,1.42879452054795,Dryer-low,0.76,Stove-med,0.95
2214A00047,2-DR,5-BC,DHW_200_Lpd,0.796931506849315,Dryer-low,0.92,Stove-high,0.93
2214A00115,2-DR,5-BC,DHW_200_Lpd,0.822479452054795,Dryer-low,0.00,Stove-high,0.99
2214A00204,2-DR,5-BC,DHW_200_Lpd,0.825191780821918,Dryer-med,0.76,Stove-high,1.20
2214A00249,2-DR,5-BC,DHW_200_Lpd,0.847397260273973,Dryer-med,0.90,Stove-high,1.06
2215A00204,2-DR,5-BC,DHW_200_Lpd,1.04204109589041,Dryer-low,0.00,Stove-high,1.09
2215A00246,2-DR,5-BC,DHW_100_Lpd,0.984602739726027,Dryer-low,0.20,Stove-med,2.27
2215A00266,2-DR,5-BC,DHW_200_Lpd,0.955178082191781,Dryer-low,1.42,Stove-med,1.13
2215A00268,2-DR,5-BC,DHW_200_Lpd,0.938178082191781,Dryer-high,0.89,Stove-high,1.10
2215A00303,2-DR,5-BC,DHW_100_Lpd,1.19657534246575,Dryer-med,0.94,Stove-med,1.28
2216A00051,2-DR,5-BC,DHW_200_Lpd,1.1266301369863,Dryer-low,1.22,Stove-med,1.23
2216A00090,2-DR,5-BC,DHW_100_Lpd,1.27172602739726,Dryer-high,1.22,Stove-high,1.26
2216A00124,2-DR,5-BC,DHW_100_Lpd,1.34857534246575,Dryer-low,1.07,Stove-med,1.30
2216A00155,2-DR,5-BC,DHW_200_Lpd,0.770972602739726,Dryer-low,0.00,Stove-high,1.75
2216A00158,2-DR,5-BC,DHW_200_Lpd,0.776465753424658,Dryer-low,1.05,Stove-high,1.36
2216A00162,2-DR,5-BC,DHW_200_Lpd,0.990534246575343,Dryer-low,1.44,Stove-med,1.29
2217A00116,2-DR,5-BC,DHW_100_Lpd,1.3333698630137,Dryer-med,0.79,Stove-high,1.01
2217A00129,2-DR,5-BC,DHW_100_Lpd,1.47945205479452,Dryer-med,1.10,Stove-high,0.92
2217A00175,2-DR,5-BC,DHW_100_Lpd,1.38065753424658,Dryer-med,0.92,Stove-high,0.98
2217A00176,2-DR,5-BC,DHW_200_Lpd,0.831767123287671,Dryer-low,0.70,Stove-high,1.33
2225A00004,2-DR,5-BC,DHW_100_Lpd,1.41106849315068,Dryer-low,0.90,Stove-high,1.53
2225A00044,2-DR,5-BC,DHW_200_Lpd,0.801945205479452,Dryer-low,0.97,Stove-high,2.17
2225A00055,2-DR,5-BC,DHW_200_Lpd,0.819534246575342,Dryer-low,0.00,Stove-high,2.21
2225A00058,2-DR,5-BC,DHW_200_Lpd,0.761684931506849,Dryer-med,1.18,Stove-high,2.38
2225A00059,2-DR,5-BC,DHW_100_Lpd,1.45665753424658,Dryer-med,0.88,Stove-high,1.86
2225A00060,2-DR,5-BC,DHW_200_Lpd,1.02093150684931,Dryer-low,0.73,Stove-med,2.01
2225A00103,2-DR,5-BC,DHW_100_Lpd,1.30550684931507,Dryer-low,1.01,Stove-med,2.03
2225A00111,2-DR,5-BC,DHW_200_Lpd,0.918753424657534,Dryer-low,1.41,Stove-high,2.77
2225A00112,2-DR,5-BC,DHW_100_Lpd,1.39164383561644,Dryer-low,0.00,Stove-high,1.86
2265A00013,2-DR,5-BC,DHW_200_Lpd,1.00228767123288,Dryer-low,0.00,Stove-high,1.38
2265A00014,2-DR,5-BC,DHW_200_Lpd,0.850931506849315,Dryer-low,0.00,Stove-high,1.34
2280A00045,2-DR,5-BC,DHW_200_Lpd,0.808972602739726,Dryer-low,0.81,Stove-high,1.17
2280A00119,2-DR,5-BC,DHW_200_Lpd,1.03368493150685,Dryer-low,1.01,Stove-high,1.25
2280A00191,2-DR,5-BC,DHW_100_Lpd,1.03780821917808,Dryer-med,1.03,Stove-high,1.14
2280A00212,2-DR,5-BC,DHW_200_Lpd,0.783643835616438,Dryer-low,0.00,Stove-high,0.93
2280A00268,2-DR,5-BC,DHW_100_Lpd,1.39753424657534,Dryer-low,0.69,Stove-high,1.10
2280A00309,2-DR,5-BC,DHW_100_Lpd,1.3112602739726,Dryer-low,0.21,Stove-med,0.88
2280A00318,2-DR,5-BC,DHW_100_Lpd,1.39923287671233,Dryer-low,0.00,Stove-high,1.38
2280A00397,2-DR,5-BC,DHW_100_Lpd,1.36038356164384,Dryer-low,0.53,Stove-high,0.81
2280A00406,2-DR,5-BC,DHW_200_Lpd,0.922520547945205,Dryer-low,0.73,Stove-high,1.29
2280A00481,2-DR,5-BC,DHW_100_Lpd,1.4878904109589,Dryer-low,0.00,Stove-high,0.99
2280A00505,2-DR,5-BC,DHW_200_Lpd,0.901013698630137,Dryer-low,0.83,Stove-high,1.24
2280A00506,2-DR,5-BC,DHW_200_Lpd,0.860904109589041,Dryer-low,0.00,Stove-high,2.19
2280A00598,2-DR,5-BC,DHW_200_Lpd,1.20072602739726,Dryer-low,0.55,Stove-high,1.05
2280A00610,2-DR,5-BC,DHW_100_Lpd,1.31564383561644,Dryer-low,0.47,Stove-med,1.13
2282A00011,2-DR,5-BC,DHW_200_Lpd,0.830931506849315,Dryer-low,0.00,Stove-high,1.66
2293A00017,2-DR,5-BC,DHW_200_Lpd,0.776835616438356,Dryer-low,0.31,Stove-high,1.40
3501A00014,2-DR,5-BC,DHW_200_Lpd,0.911849315068493,Dryer-high,0.89,Stove-high,0.92
3501A00021,2-DR,5-BC,DHW_200_Lpd,0.945356164383562,Dryer-med,1.24,Stove-high,1.12
3501A00024,2-DR,5-BC,DHW_100_Lpd,1.37643835616438,Dryer-low,0.00,Stove-high,0.87
3502A00071,2-DR,5-BC,DHW_100_Lpd,1.31309589041096,Dryer-low,1.02,Stove-high,1.14
3507A00003,2-DR,5-BC,DHW_200_Lpd,0.838945205479452,Dryer-low,0.00,Stove-med,1.09
3507A00041,2-DR,5-BC,DHW_300_Lpd,0.835232876712329,Dryer-low,0.43,Stove-med,1.07
3508A00218,2-DR,5-BC,DHW_200_Lpd,0.791232876712329,Dryer-med,0.82,Stove-med,1.27
3508A00413,2-DR,5-BC,DHW_200_Lpd,1.04875342465753,Dryer-low,0.00,Stove-med,1.26
3508A00483,2-DR,5-BC,DHW_200_Lpd,0.828821917808219,Dryer-low,0.00,Stove-high,1.13
3511A00033,2-DR,5-BC,DHW_200_Lpd,0.837260273972603,Dryer-low,0.32,Stove-high,0.93
38JMA00073,2-DR,5-BC,DHW_200_Lpd,1.10213698630137,Dryer-low,0.68,Stove-high,1.35
38JSA00007,2-DR,5-BC,DHW_200_Lpd,1.04119178082192,Dryer-med,0.81,Stove-high,1.54
38JSA00009,2-DR,5-BC,DHW_200_Lpd,0.876684931506849,Dryer-low,1.41,Stove-high,0.83
38PHA00008,2-DR,5-BC,DHW_100_Lpd,1.42624657534247,Dryer-med,1.02,Stove-high,1.30
38PHA00047,2-DR,5-BC,DHW_200_Lpd,0.845904109589041,Dryer-low,0.66,Stove-high,0.87
38PHA00070,2-DR,5-BC,DHW_100_Lpd,1.41780821917808,Dryer-med,0.78,Stove-high,1.07
