Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 11:31:53 2015
True Error 30.0238568992672, average of 2678.92385689927 kWh
True Error 238.840259316677, average of 2410.05974068332 kWh
True Error 264.441044420085, average of 2384.45895557991 kWh
True Error 96.7899730292534, average of 2552.11002697075 kWh
True Error 184.311421502727, average of 2464.58857849727 kWh
True Error 23.0722748926723, average of 2625.82772510733 kWh
Wed Oct 28 00:16:36 2015: Minimum: 75.1740195235511, Scalar: 1.36881822384104, Error:6.29052678309476
True Error 119.47152004867, average of 2529.42847995133 kWh
True Error 64.3879854339666, average of 2713.28798543397 kWh
True Error 224.629253674582, average of 2424.27074632542 kWh
True Error 45.852839915116, average of 2694.75283991512 kWh
True Error 140.885146283479, average of 2789.78514628348 kWh
True Error 96.0024390238541, average of 2552.89756097615 kWh
True Error 126.443025840488, average of 2522.45697415951 kWh
True Error 35.5237762217457, average of 2613.37622377825 kWh
True Error 36.2333047350676, average of 2685.13330473507 kWh
True Error 10.7961495482446, average of 2638.10385045176 kWh
True Error 167.442800698723, average of 2481.45719930128 kWh
True Error 59.8298259611111, average of 2589.07017403889 kWh
True Error 167.48729880158, average of 2481.41270119842 kWh
True Error 45.1108102377125, average of 2603.78918976229 kWh
True Error 296.27632751005, average of 2945.17632751005 kWh
True Error 56.2082847855077, average of 2705.10828478551 kWh
Wed Oct 28 02:06:25 2015: Minimum: 25.8058132120955, Scalar: 1.40170718648053, Error:3.79660304961049
True Error 154.619187784428, average of 2494.28081221557 kWh
True Error 252.342450529681, average of 2396.55754947032 kWh
True Error 86.9417103552987, average of 2735.8417103553 kWh
True Error 111.763760397212, average of 2537.13623960279 kWh
True Error 111.01821579444, average of 2759.91821579444 kWh
True Error 32.3630917770492, average of 2616.53690822295 kWh
True Error 44.8114040953501, average of 2693.71140409535 kWh
True Error 37.6254739063247, average of 2611.27452609368 kWh
True Error 50.3690295052274, average of 2598.53097049477 kWh
True Error 63.9951809316462, average of 2584.90481906835 kWh
True Error 4.9810506409649, average of 2653.88105064096 kWh
True Error 344.811996645897, average of 2993.7119966459 kWh
True Error 36.2117947818174, average of 2685.11179478182 kWh
True Error 140.089559654491, average of 2508.81044034551 kWh
True Error 14.6051414302665, average of 2634.29485856973 kWh
True Error 77.4823103136118, average of 2726.38231031361 kWh
Wed Oct 28 03:19:35 2015: Minimum: 9.46964958055969, Scalar: 1.42203479471056, Error:2.31287321192018
True Error 18.922860579165, average of 2667.82286057917 kWh
True Error 24.5208600496917, average of 2624.37913995031 kWh
